u1*(-a^2),u2*(1/Ma),u3*(Mb),u4*(Mc),u5*(h),u6*(m),y
0.548813504,0.748267981,0.392172961,0.758125416,0.369256324,0.307645349,24.44874552
0.715189366,0.180202707,0.041156586,0.503318511,0.211326003,0.062005211,17.8985709
0.602763376,0.389023145,0.923300569,0.177016663,0.476904769,0.988785084,25.48642966
0.544883183,0.037600182,0.406234975,0.832536505,0.082234357,0.719090296,21.38940216
0.423654799,0.011787739,0.944282183,0.516824781,0.237659365,0.75756964,22.03980536
0.645894113,0.996267872,0.72272449,0.926919544,0.083497775,0.263758105,23.24695967
0.437587211,0.488196658,0.918319952,0.97180655,0.37775196,0.814232119,28.15226774
0.891773001,0.372024764,0.823267539,0.675129849,0.231154339,0.569020588,23.80425571
0.963662761,0.196172095,0.646896702,0.312100108,0.899234052,0.459447719,28.44683472
0.383441519,0.807192245,0.06793902,0.575683771,0.172438794,0.130706242,19.46726767
0.791725038,0.70575272,0.838815772,0.371286469,0.586060633,0.318226556,25.81051108
0.52889492,0.001556198,0.692822401,0.269004031,0.029319602,0.347139798,15.80325044
0.568044561,0.771226673,0.957991514,0.454179775,0.221163911,0.049413944,20.51287171
0.925596638,0.111482745,0.142222468,0.413777125,0.760429992,0.963845247,28.8260241
0.071036058,0.94863268,0.087773538,0.610589271,0.25812895,0.964750618,24.70446659
0.0871293,0.332736084,0.518879981,0.853617652,0.139813517,0.110667102,19.30359044
0.020218397,0.451102775,0.359932374,0.349633718,0.125542882,0.339288137,17.23440126
0.832619846,0.004980906,0.960273682,0.448911994,0.471019922,0.563407463,24.28334127
0.778156751,0.824392688,0.703772218,0.83313308,0.395638968,0.486818646,27.26570922
0.870012148,0.308168254,0.44599407,0.190897173,0.653288225,0.564923287,25.14297834
0.978618342,0.556446876,0.192208748,0.125470628,0.560194161,0.861053827,25.69531328
0.799158564,0.926600797,0.44288141,0.544004762,0.078169236,0.815371246,23.32135727
0.461479362,0.156222383,0.466286417,0.831114224,0.027163456,0.410101379,19.45420922
0.780529176,0.867329613,0.009142556,0.373333467,0.505999985,0.52310581,25.10429069
0.118274426,0.500238931,0.257215411,0.631911157,0.905956544,0.188560464,27.72883655
0.639921021,0.924456174,0.245371697,0.009823639,0.302814818,0.456047809,20.39422681
0.143353287,0.82235505,0.381021436,0.909095017,0.606560575,0.762453523,29.8708685
0.944668917,0.442980031,0.424038326,0.603386919,0.871930573,0.253408224,29.20486493
0.521848322,0.088711771,0.267530556,0.258615268,0.941295943,0.245802623,25.78738384
0.41466194,0.030197455,0.112646247,0.07822874,0.047249338,0.996792135,17.10921078
0.264555612,0.87423081,0.138679574,0.224445524,0.219957568,0.225994215,18.47595805
0.774233689,0.474284917,0.688202164,0.628792499,0.167787538,0.962532004,24.60249085
0.456150332,0.663694908,0.955889726,0.669168772,0.996178485,0.248602474,31.5493868
0.568433949,0.881648414,0.344854363,0.710357042,0.657968213,0.712989812,30.02180456
0.0187898,0.304658991,0.142786391,0.846379758,0.311720484,0.044882383,20.20907244
0.617635497,0.895763018,0.260057803,0.535474759,0.475998778,0.673729273,26.60612701
0.612095723,0.027532439,0.152175053,0.249726782,0.333564337,0.416433818,19.11835317
0.616933997,0.279925679,0.194739656,0.970367487,0.089957917,0.513677893,21.83584391
0.943748079,0.811766395,0.662160512,0.113271811,0.765506509,0.510617521,27.73483269
0.681820299,0.853220318,0.384927326,0.293758727,0.255415448,0.379901482,21.22773769
0.359507901,0.944835395,0.250454286,0.713473023,0.487224092,0.017947644,24.14646887
0.437031954,0.303011272,0.581157912,0.605635508,0.596321052,0.807719407,27.4830973
0.697631196,0.780235586,0.897823947,0.54386465,0.803543313,0.412468251,30.05075399
0.060225472,0.985130303,0.024429014,0.11447021,0.66744234,0.284819255,23.23271099
0.666766715,0.527006015,0.596718774,0.979377187,0.512424262,0.895427462,30.31212121
0.67063787,0.25259629,0.671995992,0.147839949,0.143746797,0.515987039,18.29899505
0.210382561,0.038962315,0.433169074,0.330244715,0.39902569,0.983350936,22.87393693
0.128926298,0.759653063,0.920351748,0.381685586,0.11828575,0.456016104,19.90696244
0.315428351,0.138845384,0.170187178,0.234607268,0.108727132,0.711311258,17.57159911
